api-1  | {"timestamp": "2026-02-10T19:01:57.726563+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "3693984f-7fa2-484e-b8d8-0495445db5ac", "user_id": null, "path": "/api/tasks/my", "method": "GET", "status_code": 401, "latency_ms": 5.13}
api-1  | {"timestamp": "2026-02-10T19:01:58.434093+00:00", "level": "INFO", "logger": "security", "message": "{\"event\": \"login_rate_limited\", \"request_id\": null, \"path\": \"/api/auth/login\", \"method\": \"POST\", \"client\": \"172.18.0.3\", \"email\": \"admin@zenops.local\"}"}
api-1  | {"timestamp": "2026-02-10T19:01:58.434648+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "302487a2-9c7e-46d6-96fb-3310593be4fd", "user_id": null, "path": "/api/auth/login", "method": "POST", "status_code": 429, "latency_ms": 6.88}
api-1  | {"timestamp": "2026-02-10T19:01:58.464872+00:00", "level": "INFO", "logger": "security", "message": "{\"event\": \"token_invalid\", \"request_id\": null, \"path\": \"/api/tasks/my\", \"method\": \"GET\", \"client\": \"172.18.0.3\"}"}
api-1  | {"timestamp": "2026-02-10T19:01:58.465571+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "55b19c8c-dc97-4107-9cb7-f19328ebdcd8", "user_id": null, "path": "/api/tasks/my", "method": "GET", "status_code": 401, "latency_ms": 2.81}
api-1  | {"timestamp": "2026-02-10T19:01:59.181277+00:00", "level": "INFO", "logger": "security", "message": "{\"event\": \"login_rate_limited\", \"request_id\": null, \"path\": \"/api/auth/login\", \"method\": \"POST\", \"client\": \"172.18.0.3\", \"email\": \"admin@zenops.local\"}"}
api-1  | {"timestamp": "2026-02-10T19:01:59.181774+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "b874bf5f-5481-46c3-b944-3d99f4507fca", "user_id": null, "path": "/api/auth/login", "method": "POST", "status_code": 429, "latency_ms": 3.57}
api-1  | {"timestamp": "2026-02-10T19:01:59.219892+00:00", "level": "INFO", "logger": "security", "message": "{\"event\": \"token_invalid\", \"request_id\": null, \"path\": \"/api/master/banks\", \"method\": \"GET\", \"client\": \"172.18.0.3\"}"}
api-1  | {"timestamp": "2026-02-10T19:01:59.220630+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "3ea9de71-4d91-48f8-92b7-b18268a810e9", "user_id": null, "path": "/api/master/banks", "method": "GET", "status_code": 401, "latency_ms": 4.96}
api-1  | {"timestamp": "2026-02-10T19:01:59.913086+00:00", "level": "INFO", "logger": "security", "message": "{\"event\": \"login_rate_limited\", \"request_id\": null, \"path\": \"/api/auth/login\", \"method\": \"POST\", \"client\": \"172.18.0.3\", \"email\": \"admin@zenops.local\"}"}
api-1  | {"timestamp": "2026-02-10T19:01:59.913511+00:00", "level": "INFO", "logger": "request", "message": "request", "request_id": "68cd54aa-dcb5-4e6d-9b4d-c71d82b5b157", "user_id": null, "path": "/api/auth/login", "method": "POST", "status_code": 429, "latency_ms": 5.06}
